DEF10058,1015-2-5,1015-2-11
DEF10059,1015-2-12,1015-2-16
DEF10060,1015-3-17,1015-3-23
DEF10061,1015-4-1,1015-4-4
DEF10062,1016-5-5,1016-5-9
DEF10063,1017-6-10,1017-6-12
DEF10064,1018-7-13,1018-7-16
DEF10065,1018-7-17,1018-7-23
DEF10066,1018-7-1,1018-7-5
DEF10067,1018-8-6,1018-8-8
DEF10068,1018-9-9,1018-9-13
DEF10069,1018-9-14,1018-9-17
DEF10070,1018-9-18,1018-9-24
DEF10071,1018-10-1,1018-10-3
DEF10072,1018-11-4,1018-11-6
DEF10073,1019-12-7,1019-12-10
DEF10074,1019-12-11,1019-12-16
DEF10075,1019-1-17,1019-1-19
DEF10076,1019-2-20,1019-2-21
DEF10077,1019-2-1,1019-2-4
DEF10078,1019-2-5,1019-2-8
DEF10079,1020-2-9,1020-2-12
DEF10080,1020-2-13,1020-2-16
DEF10081,1020-3-17,1020-3-19
DEF10082,1021-3-20,1021-3-26
DEF10083,1021-4-1,1021-4-5
DEF10084,1022-5-6,1022-5-8
DEF10085,1023-5-9,1023-5-11
DEF10086,1023-6-12,1023-6-16
DEF10087,1023-7-17,1023-7-21
DEF10088,1023-7-1,1023-7-7
DEF10089,1023-8-8,1023-8-10
DEF10090,1023-8-11,1023-8-17
DEF10091,1023-9-18,1023-9-21
DEF10092,1024-10-1,1024-10-2
DEF10093,1025-11-3,1025-11-7
DEF10094,1025-11-8,1025-11-12
DEF10095,1026-11-13,1026-11-19
DEF10096,1026-11-20,1026-11-24
DEF10097,1026-11-1,1026-11-2
DEF10098,1027-11-3,1027-11-4
DEF10099,1027-12-5,1027-12-7
DEF2001,1027-12-8,1027-12-9
DEF2002,1028-12-10,1028-12-14
DEF2003,1028-1-15,1028-1-19
DEF2004,1028-2-20,1028-2-24
DEF2005,1029-3-1,1029-3-5
DEF2006,1029-4-6,1029-4-11
DEF2007,1029-5-12,1029-5-16
DEF2008,1029-6-17,1029-6-21
DEF2009,1029-6-1,1029-6-4
DEF20010,1029-6-5,1029-6-8
DEF20011,1029-7-9,1029-7-10
DEF20012,1029-8-11,1029-8-14
DEF20013,1030-9-15,1030-9-20
DEF20014,1030-10-1,1030-10-4
DEF20015,1030-10-5,1030-10-11
DEF20016,1030-11-12,1030-11-15
DEF20017,1030-11-16,1030-11-18
DEF20018,1030-11-19,1030-11-22
DEF20019,1031-12-1,1031-12-6
DEF20020,1031-1-7,1031-1-9
DEF20021,1031-2-10,1031-2-13
DEF20022,1031-3-14,1031-3-17
DEF20023,1031-4-18,1031-4-24
DEF20024,1031-4-1,1031-4-4
DEF20025,1031-5-5,1031-5-6
DEF20026,1031-5-7,1031-5-13
DEF20027,1032-5-14,1032-5-15
DEF20028,1033-6-16,1033-6-19
DEF20029,1033-7-20,1033-7-23
DEF20030,1034-8-1,1034-8-7
DEF20031,1034-9-8,1034-9-12
DEF20032,1035-10-13,1035-10-18
DEF20033,1035-11-19,1035-11-22
DEF20034,1035-12-1,1035-12-7
DEF20035,1036-1-8,1036-1-13
DEF20036,1037-2-14,1037-2-16
DEF20037,1037-3-17,1037-3-21
DEF20038,1037-3-1,1037-3-5
DEF20039,1037-4-6,1037-4-7
DEF20040,1037-4-8,1037-4-9
DEF20041,1038-4-10,1038-4-12
DEF20042,1038-5-13,1038-5-16
DEF20043,1038-6-17,1038-6-21
DEF20044,1038-6-1,1038-6-2
DEF20045,1039-7-3,1039-7-4
DEF20046,1040-7-5,1040-7-9
DEF20047,1041-7-10,1041-7-16
DEF20048,1042-8-17,1042-8-19
DEF20049,1042-8-20,1042-8-25
DEF20050,1042-9-1,1042-9-5
DEF20051,1042-10-6,1042-10-11
DEF20052,1043-11-12,1043-11-16
DEF20053,1043-11-17,1043-11-19
DEF20054,1043-11-20,1043-11-24
DEF20055,1043-11-1,1043-11-5
DEF20056,1043-12-6,1043-12-11
DEF20057,1043-12-12,1043-12-17
DEF20058,1043-12-18,1043-12-19
DEF20059,1044-1-20,1044-1-23
DEF20060,1044-2-1,1044-2-7
DEF20061,1045-2-8,1045-2-14
DEF20062,1045-3-15,1045-3-16
DEF20063,1045-4-17,1045-4-22
DEF20064,1046-5-1,1046-5-7
DEF20065,1047-6-8,1047-6-9
DEF20066,1048-6-10,1048-6-16
DEF20067,1049-7-17,1049-7-22
DEF20068,1049-8-1,1049-8-4
DEF20069,1049-8-5,1049-8-9
DEF20070,1049-9-10,1049-9-12
DEF20071,1049-10-13,1049-10-16
DEF20072,1050-11-17,1050-11-23
DEF20073,1050-11-1,1050-11-3
DEF20074,1050-12-4,1050-12-7
DEF20075,1050-1-8,1050-1-10
DEF20076,1050-1-11,1050-1-16
DEF20077,1050-2-17,1050-2-18
DEF20078,1050-2-19,1050-2-21
DEF20079,1050-3-1,1050-3-4
DEF20080,1050-4-5,1050-4-9
DEF20081,1051-4-10,1051-4-15
DEF20082,1051-4-16,1051-4-18
DEF20083,1051-4-19,1051-4-23
DEF20084,1051-5-1,1051-5-4
DEF20085,1051-5-5,1051-5-11
DEF20086,1051-6-12,1051-6-14
DEF20087,1052-6-15,1052-6-17
DEF20088,1052-7-18,1052-7-19
DEF20089,1052-8-20,1052-8-24
DEF20090,1053-9-1,1053-9-5
DEF20091,1053-9-6,1053-9-9
DEF20092,1053-9-10,1053-9-14
DEF20093,1053-10-15,1053-10-19
DEF20094,1053-11-20,1053-11-25
DEF20095,1053-12-1,1053-12-3
DEF20096,1053-12-4,1053-12-6
DEF20097,1054-12-7,1054-12-11
DEF20098,1054-1-12,1054-1-13
DEF20099,1054-1-14,1054-1-20
DEF3001,1054-1-1,1054-1-6
DEF3002,1054-1-7,1054-1-12
DEF3003,1054-2-13,1054-2-17
DEF3004,1054-2-18,1054-2-19
DEF3005,1054-2-20,1054-2-24
DEF3006,1054-3-1,1054-3-7
DEF3007,1054-3-8,1054-3-11
DEF3008,1054-3-12,1054-3-17
DEF3009,1054-3-18,1054-3-23
DEF30010,1054-3-1,1054-3-4
DEF30011,1054-4-5,1054-4-7
DEF30012,1054-5-8,1054-5-10
DEF30013,1054-6-11,1054-6-15
DEF30014,1054-6-16,1054-6-21
DEF30015,1054-7-1,1054-7-3
DEF30016,1055-8-4,1055-8-8
DEF30017,1055-8-9,1055-8-15
DEF30018,1055-8-16,1055-8-20
DEF30019,1056-8-1,1056-8-3
DEF30020,1057-9-4,1057-9-10
DEF30021,1057-10-11,1057-10-12
DEF30022,1057-10-13,1057-10-17
DEF30023,1057-11-18,1057-11-23
DEF30024,1057-11-1,1057-11-5
DEF30025,1058-11-6,1058-11-12
DEF30026,1059-12-13,1059-12-16
DEF30027,1060-12-17,1060-12-20
DEF30028,1061-1-1,1061-1-3
DEF30029,1062-2-4,1062-2-5
DEF30030,1062-2-6,1062-2-11
DEF30031,1063-2-12,1063-2-18
DEF30032,1063-2-19,1063-2-22
DEF30033,1064-3-1,1064-3-4
DEF30034,1065-3-5,1065-3-6
DEF30035,1065-4-7,1065-4-9
DEF30036,1066-5-10,1066-5-13
DEF30037,1067-6-14,1067-6-19
DEF30038,1067-6-20,1067-6-26
DEF30039,1067-6-1,1067-6-2
DEF30040,1068-6-3,1068-6-4
DEF30041,1069-7-5,1069-7-8
DEF30042,1069-8-9,1069-8-15
DEF30043,1069-8-16,1069-8-17
DEF30044,1070-8-18,1070-8-20
DEF30045,1070-9-1,1070-9-6
DEF30046,1070-10-7,1070-10-9
DEF30047,1071-10-10,1071-10-15
DEF30048,1071-10-16,1071-10-21
DEF30049,1071-11-1,1071-11-5
DEF30050,1071-12-6,1071-12-7
DEF30051,1071-1-8,1071-1-9
DEF30052,1071-1-10,1071-1-12
DEF30053,1072-2-13,1072-2-15
DEF30054,1072-3-16,1072-3-18
DEF30055,1072-3-19,1072-3-24
DEF30056,1072-4-1,1072-4-2
DEF30057,1072-5-3,1072-5-5
DEF30058,1072-6-6,1072-6-8
DEF30059,1073-7-9,1073-7-14
DEF30060,1073-8-15,1073-8-20
DEF30061,1073-9-1,1073-9-4
DEF30062,1073-9-5,1073-9-6
DEF30063,1074-10-7,1074-10-11
DEF30064,1075-11-12,1075-11-15
DEF30065,1076-11-16,1076-11-21
DEF30066,1077-12-1,1077-12-3
DEF30067,1078-1-4,1078-1-5
DEF30068,1078-2-6,1078-2-11
DEF30069,1078-3-12,1078-3-15
DEF30070,1078-3-16,1078-3-17
DEF30071,1079-3-18,1079-3-24
DEF30072,1080-4-1,1080-4-7
DEF30073,1080-4-8,1080-4-9
DEF30074,1081-5-10,1081-5-13
DEF30075,1081-6-14,1081-6-15
DEF30076,1082-7-16,1082-7-18
DEF30077,1082-8-19,1082-8-22
DEF30078,1083-9-1,1083-9-2
DEF30079,1083-9-3,1083-9-5
DEF30080,1084-10-6,1084-10-10
DEF30081,1084-10-11,1084-10-17
DEF30082,1085-10-18,1085-10-22
DEF30083,1085-10-1,1085-10-7
DEF30084,1085-10-8,1085-10-11
DEF30085,1086-10-12,1086-10-15
DEF30086,1086-11-16,1086-11-21
DEF30087,1086-12-1,1086-12-7
DEF30088,1086-12-8,1086-12-10
DEF30089,1087-1-11,1087-1-13
DEF30090,1087-2-14,1087-2-17
DEF30091,1087-3-18,1087-3-22
DEF30092,1087-3-1,1087-3-2
DEF30093,1087-4-3,1087-4-4
DEF30094,1087-5-5,1087-5-6
DEF30095,1087-5-7,1087-5-12
DEF30096,1087-6-13,1087-6-18
DEF30097,1088-6-19,1088-6-25
DEF30098,1088-6-1,1088-6-2
DEF30099,1088-7-3,1088-7-4
DEF4001,1088-8-5,1088-8-9
DEF4002,1089-9-10,1089-9-12
DEF4003,1089-9-13,1089-9-17
DEF4004,1089-10-18,1089-10-23
DEF4005,1089-11-1,1089-11-3
DEF4006,1089-11-4,1089-11-10
DEF4007,1090-12-11,1090-12-14
DEF4008,1091-1-15,1091-1-17
DEF4009,1091-1-18,1091-1-24
DEF40010,1091-1-1,1091-1-6
DEF40011,1091-2-7,1091-2-9
DEF40012,1091-2-10,1091-2-13
DEF40013,1091-2-14,1091-2-20
DEF40014,1091-2-1,1091-2-3
DEF40015,1091-3-4,1091-3-6
DEF40016,1091-4-7,1091-4-12
DEF40017,1091-5-13,1091-5-14
DEF40018,1091-6-15,1091-6-18
DEF40019,1091-7-19,1091-7-23
DEF40020,1091-8-1,1091-8-7
DEF40021,1091-8-8,1091-8-12
DEF40022,1091-8-13,1091-8-14
DEF40023,1091-8-15,1091-8-21
DEF40024,1091-9-1,1091-9-7
DEF40025,1091-10-8,1091-10-11
DEF40026,1091-10-12,1091-10-14
DEF40027,1091-10-15,1091-10-20
DEF40028,1092-10-1,1092-10-2
DEF40029,1092-10-3,1092-10-8
DEF40030,1092-10-9,1092-10-10
DEF40031,1092-11-11,1092-11-13
DEF40032,1093-12-14,1093-12-15
DEF40033,1094-12-16,1094-12-19
DEF40034,1094-12-20,1094-12-21
DEF40035,1094-1-1,1094-1-6
DEF40036,1095-1-7,1095-1-12
DEF40037,1096-1-13,1096-1-19
DEF40038,1096-1-20,1096-1-23
DEF40039,1096-2-1,1096-2-7
DEF40040,1096-3-8,1096-3-12
DEF40041,1096-4-13,1096-4-15
DEF40042,1096-4-16,1096-4-21
DEF40043,1097-4-1,1097-4-4
DEF40044,1097-5-5,1097-5-9
DEF40045,1097-6-10,1097-6-16
DEF40046,1097-7-17,1097-7-18
DEF40047,1097-7-19,1097-7-21
DEF40048,1097-7-1,1097-7-3
DEF40049,1097-7-4,1097-7-8
DEF40050,1098-8-9,1098-8-10
DEF40051,1098-9-11,1098-9-13
DEF40052,1098-10-14,1098-10-19
DEF40053,1098-11-20,1098-11-22
DEF40054,1099-12-1,1099-12-6
DEF40055,1100-1-7,1100-1-13
DEF40056,1100-1-14,1100-1-16
DEF40057,1100-2-17,1100-2-18
DEF40058,1100-3-19,1100-3-23
DEF40059,1100-4-1,1100-4-7
DEF40060,1101-4-8,1101-4-13
DEF40061,1101-5-14,1101-5-20
DEF40062,1102-5-1,1102-5-5
DEF40063,1102-5-6,1102-5-9
DEF40064,1102-6-10,1102-6-11
DEF40065,1102-6-12,1102-6-17
DEF40066,1102-6-18,1102-6-22
DEF40067,1102-7-1,1102-7-5
DEF40068,1102-7-6,1102-7-9
DEF40069,1102-8-10,1102-8-11
DEF40070,1102-9-12,1102-9-18
DEF40071,1102-10-19,1102-10-23
DEF40072,1103-11-1,1103-11-3
DEF40073,1104-12-4,1104-12-8
DEF40074,1104-1-9,1104-1-15
DEF40075,1105-2-16,1105-2-17
DEF40076,1105-3-18,1105-3-20
DEF40077,1106-3-1,1106-3-6
DEF40078,1106-4-7,1106-4-10
DEF40079,1106-4-11,1106-4-14
DEF40080,1107-5-15,1107-5-20
DEF40081,1107-6-1,1107-6-6
DEF40082,1107-7-7,1107-7-8
DEF40083,1107-8-9,1107-8-13
DEF40084,1108-8-14,1108-8-18
DEF40085,1108-8-19,1108-8-20
DEF40086,1108-9-1,1108-9-6
DEF40087,1108-10-7,1108-10-11
DEF40088,1108-10-12,1108-10-15
DEF40089,1108-11-16,1108-11-17
DEF40090,1108-11-18,1108-11-21
DEF40091,1108-11-1,1108-11-6
DEF40092,1108-11-7,1108-11-11
DEF40093,1108-12-12,1108-12-13
DEF40094,1108-12-14,1108-12-16
DEF40095,1108-1-17,1108-1-18
DEF40096,1109-1-19,1109-1-22
DEF40097,1110-2-1,1110-2-2
DEF40098,1111-3-3,1111-3-9
DEF40099,1111-4-10,1111-4-15
DEF5001,1111-5-16,1111-5-20
DEF5002,1111-5-1,1111-5-3
DEF5003,1111-5-4,1111-5-8
DEF5004,1111-5-9,1111-5-11
DEF5005,1111-6-12,1111-6-15
DEF5006,1111-7-16,1111-7-18
DEF5007,1111-7-19,1111-7-20
DEF5008,1111-8-1,1111-8-3
DEF5009,1111-9-4,1111-9-10
DEF50010,1111-10-11,1111-10-14
DEF50011,1111-11-15,1111-11-16
DEF50012,1111-12-17,1111-12-23
DEF50013,1112-12-1,1112-12-4
DEF50014,1112-12-5,1112-12-11
DEF50015,1113-12-12,1113-12-17
DEF50016,1114-12-18,1114-12-19
DEF50017,1114-1-20,1114-1-22
DEF50018,1114-1-1,1114-1-5
DEF50019,1115-1-6,1115-1-9
DEF50020,1116-2-10,1116-2-12
DEF50021,1116-3-13,1116-3-14
DEF50022,1117-4-15,1117-4-19
DEF50023,1117-5-20,1117-5-22
DEF50024,1117-5-1,1117-5-6
DEF50025,1117-5-7,1117-5-13
DEF50026,1117-5-14,1117-5-17
DEF50027,1117-5-18,1117-5-22
DEF50028,1117-5-1,1117-5-6
DEF50029,1117-5-7,1117-5-8
DEF50030,1117-6-9,1117-6-11
DEF50031,1117-7-12,1117-7-18
DEF50032,1118-7-19,1118-7-23
DEF50033,1118-8-1,1118-8-2
DEF50034,1118-9-3,1118-9-4
DEF50035,1118-10-5,1118-10-7
DEF50036,1118-10-8,1118-10-10
DEF50037,1119-11-11,1119-11-15
DEF50038,1120-12-16,1120-12-22
DEF50039,1120-12-1,1120-12-6
DEF50040,1120-12-7,1120-12-11
DEF50041,1120-1-12,1120-1-17
DEF50042,1120-2-18,1120-2-20
DEF50043,1120-3-1,1120-3-4
DEF50044,1120-4-5,1120-4-7
DEF50045,1121-5-8,1121-5-11
DEF50046,1121-6-12,1121-6-15
DEF50047,1122-7-16,1122-7-21
DEF50048,1122-8-1,1122-8-3
DEF50049,1122-9-4,1122-9-9
DEF50050,1122-10-10,1122-10-14
DEF50051,1122-11-15,1122-11-19
DEF50052,1122-11-20,1122-11-22
DEF50053,1122-12-1,1122-12-5
DEF50054,1122-1-6,1122-1-10
DEF50055,1122-2-11,1122-2-17
DEF50056,1122-2-18,1122-2-20
DEF50057,1122-3-1,1122-3-2
DEF50058,1122-4-3,1122-4-8
DEF50059,1122-5-9,1122-5-14
DEF50060,1122-5-15,1122-5-18
DEF50061,1122-5-19,1122-5-24
DEF50062,1122-6-1,1122-6-2
DEF50063,1123-7-3,1123-7-4
DEF50064,1123-7-5,1123-7-9
DEF50065,1123-8-10,1123-8-12
DEF50066,1124-9-13,1124-9-14
DEF50067,1124-10-15,1124-10-19
DEF50068,1124-10-20,1124-10-24
DEF50069,1124-10-1,1124-10-7
DEF50070,1124-11-8,1124-11-11
DEF50071,1124-11-12,1124-11-18
DEF50072,1125-12-19,1125-12-23
DEF50073,1125-1-1,1125-1-4
DEF50074,1125-2-5,1125-2-8
DEF50075,1125-2-9,1125-2-15
DEF50076,1125-2-16,1125-2-18
DEF50077,1125-3-19,1125-3-22
DEF50078,1125-4-1,1125-4-7
DEF50079,1125-5-8,1125-5-9
DEF50080,1125-6-10,1125-6-14
DEF50081,1125-7-15,1125-7-17
DEF50082,1125-7-18,1125-7-22
DEF50083,1126-7-1,1126-7-5
DEF50084,1126-8-6,1126-8-8
DEF50085,1127-9-9,1127-9-11
DEF50086,1127-10-12,1127-10-17
DEF50087,1127-10-18,1127-10-24
DEF50088,1128-10-1,1128-10-3
DEF50089,1129-11-4,1129-11-9
DEF50090,1129-11-10,1129-11-16
DEF50091,1129-12-17,1129-12-22
DEF50092,1129-12-1,1129-12-3
DEF50093,1129-1-4,1129-1-5
DEF50094,1129-1-6,1129-1-10
DEF50095,1129-2-11,1129-2-16
DEF50096,1129-3-17,1129-3-19
DEF50097,1129-4-20,1129-4-21
DEF50098,1130-4-1,1130-4-6
DEF50099,1130-5-7,1130-5-9
